# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionTimeUs,1775392690136000000,1775392699803000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1775392690136000000,1775392699803000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1775392690136000000,1775392699803000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1775392690136000000,1775392699803000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1775392690136000000,1775392699803000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1775392690136000000,1775392699803000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1775392690136000000,1775392699803000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1775392690136000000,1775392699803000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1775392690136000000,1775392699803000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1775392690136000000,1775392699803000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1775392690136000000,1775392699803000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1775392690136000000,1775392699803000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1775392690136000000,1775392699803000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1775392690136000000,1775392699803000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1775392690136000000,1775392699803000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1775392690136000000,1775392699803000000,0
workspaceModel.save.cache.to.file.ms,1775392690136000000,1775392699803000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1775392690136000000,1775392699803000000,0
workspaceModel.mutableEntityStorage.entities.ms,1775392690136000000,1775392699803000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1775392690136000000,1775392699803000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1775392690136000000,1775392699803000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1775392690136000000,1775392699803000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1775392690136000000,1775392699803000000,0
workspaceModel.load.cache.metadata.from.file.ms,1775392690136000000,1775392699803000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1775392690136000000,1775392699803000000,0
workspaceModel.load.cache.from.file.ms,1775392690136000000,1775392699803000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1775392690136000000,1775392699803000000,1
