# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.save.cache.to.file.ms,1775391287365000000,1775391296847000000,0
workspaceModel.load.cache.metadata.from.file.ms,1775391287365000000,1775391296847000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1775391287365000000,1775391296847000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1775391287365000000,1775391296847000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1775391287365000000,1775391296847000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1775391287365000000,1775391296847000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1775391287365000000,1775391296847000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1775391287365000000,1775391296847000000,0
workspaceModel.load.cache.from.file.ms,1775391287365000000,1775391296847000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1775391287365000000,1775391296847000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1775391287365000000,1775391296847000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1775391287365000000,1775391296847000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1775391287365000000,1775391296847000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1775391287365000000,1775391296847000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1775391287365000000,1775391296847000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1775391287365000000,1775391296847000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1775391287365000000,1775391296847000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1775391287365000000,1775391296847000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1775391287365000000,1775391296847000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1775391287365000000,1775391296847000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1775391287365000000,1775391296847000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1775391287365000000,1775391296847000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1775391287365000000,1775391296847000000,0
workspaceModel.mutableEntityStorage.entities.ms,1775391287365000000,1775391296847000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1775391287365000000,1775391296847000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1775391287365000000,1775391296847000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1775391287365000000,1775391296847000000,0
FilePageCache.pageLoads,1775391287365000000,1775391296847000000,193
FilePageCacheLockFree.totalPagesReadMs,1775391287365000000,1775391296847000000,2
StorageLockContext.competingThreads.90P,1775391287365000000,1775391296847000000,0
MappedFileStorage.storages,1775391287365000000,1775391296847000000,0
DirectByteBufferAllocator.hits,1775391287365000000,1775391296847000000,3
FilePageCacheLockFree.totalPagesReclaimed,1775391287365000000,1775391296847000000,2
FilePageCacheLockFree.housekeeperTurnsSkipped,1775391287365000000,1775391296847000000,7193
FilePageCacheLockFree.totalPagesAllocated,1775391287365000000,1775391296847000000,2
FilePageCache.pageLoadsAboveSizeThreshold,1775391287365000000,1775391296847000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1775391287365000000,1775391296847000000,16384
FilePageCache.disposedBuffers,1775391287365000000,1775391296847000000,193
FilePageCacheLockFree.totalBytesRead,1775391287365000000,1775391296847000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1775391287365000000,1775391296847000000,16384
MappedFileStorage.totalPagesMapped,1775391287365000000,1775391296847000000,0
MappedFileStorage.totalBytesMapped,1775391287365000000,1775391296847000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775391287365000000,1775391296847000000,41959424
FilePageCache.uncachedFileAccess,1775391287365000000,1775391296847000000,328
FilePageCache.maxCacheSizeInBytes,1775391287365000000,1775391296847000000,199229440
DirectByteBufferAllocator.reclaimed,1775391287365000000,1775391296847000000,45
FilePageCacheLockFree.totalBytesWritten,1775391287365000000,1775391296847000000,24
FilePageCacheLockFree.totalPagesWriteMs,1775391287365000000,1775391296847000000,0
FilePageCacheLockFree.totalPagesRequested,1775391287365000000,1775391296847000000,9
DirectByteBufferAllocator.disposed,1775391287365000000,1775391296847000000,150
FilePageCacheLockFree.heapBytesInUse,1775391287365000000,1775391296847000000,0
FilePageCache.capacityInBytes,1775391287365000000,1775391296847000000,503316478
FilePageCacheLockFree.totalHeapBytesReclaimed,1775391287365000000,1775391296847000000,0
FilePageCacheLockFree.nativeBytesInUse,1775391287365000000,1775391296847000000,0
FilePageCacheLockFree.totalPagesHandedOver,1775391287365000000,1775391296847000000,0
FilePageCache.totalPageDisposalsUs,1775391287365000000,1775391296847000000,448
FilePageCache.maxRegisteredFiles,1775391287365000000,1775391296847000000,529
FilePageCache.pageFastCacheHits,1775391287365000000,1775391296847000000,13395
StorageLockContext.competingThreads.avg,1775391287365000000,1775391296847000000,0.0
MappedFileStorage.totalTimeSpentOnMappingUs,1775391287365000000,1775391296847000000,390063
FilePageCacheLockFree.housekeeperTimeSpentMs,1775391287365000000,1775391296847000000,42
FilePageCache.pageHits,1775391287365000000,1775391296847000000,0
StorageLockContext.competingThreads.max,1775391287365000000,1775391296847000000,0
FilePageCache.totalPageLoadsUs,1775391287365000000,1775391296847000000,61561
DirectByteBufferAllocator.misses,1775391287365000000,1775391296847000000,192
FilePageCacheLockFree.totalPagesWritten,1775391287365000000,1775391296847000000,3
FilePageCacheLockFree.totalHeapBytesAllocated,1775391287365000000,1775391296847000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1775391287365000000,1775391296847000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1775391287365000000,1775391296847000000,2
FilePageCacheLockFree.housekeeperTurnsDone,1775391287365000000,1775391296847000000,21
FilePageCacheLockFree.totalPagesRequestsMs,1775391287365000000,1775391296847000000,4
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775391287365000000,1775391296847000000,41959424
FilePageCacheLockFree.totalBytesRequested,1775391287365000000,1775391296847000000,73728
NonBlockingReadAction.failedExecutionTimeUs,1775391287365000000,1775391296847000000,0
FlushQueue.tasksExecuted,1775391287365000000,1775391296847000000,1294
NonBlockingReadAction.finalizedExecutionsCount,1775391287365000000,1775391296847000000,14
AWTEventQueue.dispatchTime90PNs,1775391287365000000,1775391296847000000,23679
FlushQueue.waitingTimeAvgNs,1775391287365000000,1775391296847000000,5.485964661684699E8
NonBlockingReadAction.failedExecutionsCount,1775391287365000000,1775391296847000000,0
FlushQueue.queueSizeAvg,1775391287365000000,1775391296847000000,101.6081916537867
NonBlockingReadAction.finalizedExecutionTimeUs,1775391287365000000,1775391296847000000,31598
FlushQueue.queueSize90P,1775391287365000000,1775391296847000000,353
AWTEventQueue.dispatchTimeTotalNS,1775391287365000000,1775391296847000000,5244151287
AWTEventQueue.dispatchTimeAvgNs,1775391287365000000,1775391296847000000,2623530.7801702553
FlushQueue.waitingTime90PNs,1775391287365000000,1775391296847000000,2499805183
FlushQueue.queueSizeMax,1775391287365000000,1775391296847000000,457
FlushQueue.executionTime90PNs,1775391287365000000,1775391296847000000,41471
AWTEventQueue.dispatchTimeMaxNs,1775391287365000000,1775391296847000000,5167382527
FlushQueue.executionTimeAvgNs,1775391287365000000,1775391296847000000,25908.567233384852
ReadAction.executionsCount,1775391287365000000,1775391296847000000,49125
FlushQueue.executionTimeMaxNs,1775391287365000000,1775391296847000000,2310143
FlushQueue.waitingTimeMaxNs,1775391287365000000,1775391296847000000,3976200191
WriteAction.executionsCount,1775391287365000000,1775391296847000000,1
AWTEventQueue.eventsDispatched,1775391287365000000,1775391296847000000,1997
workspaceModel.replace.project.model.ms,1775391287365000000,1775391296847000000,0
workspaceModel.collect.changes.ms,1775391287365000000,1775391296847000000,0
workspaceModel.update.unloaded.entities.ms,1775391287365000000,1775391296847000000,0
workspaceModel.updates.precise.ms,1775391287365000000,1775391296847000000,0
workspaceModel.init.bridges.ms,1775391287365000000,1775391296847000000,0
workspaceModel.initializing.ms,1775391287365000000,1775391296847000000,0
workspaceModel.pre.handlers.ms,1775391287365000000,1775391296847000000,0
workspaceModel.updates.count,1775391287365000000,1775391296847000000,0
workspaceModel.loading.from.cache.ms,1775391287365000000,1775391296847000000,12
workspaceModel.check.recursive.update.ms,1775391287365000000,1775391296847000000,0
workspaceModel.loading.total.ms,1775391287365000000,1775391296847000000,18
workspaceModel.updates.ms,1775391287365000000,1775391296847000000,0
workspaceModel.to.snapshot.ms,1775391287365000000,1775391296847000000,0
