# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.finalizedExecutionsCount,1775393090298000000,1775393102926000000,14
AWTEventQueue.dispatchTimeMaxNs,1775393090298000000,1775393102926000000,8522825727
FlushQueue.waitingTime90PNs,1775393090298000000,1775393102926000000,4429185023
FlushQueue.executionTimeAvgNs,1775393090298000000,1775393102926000000,107242.6319505737
AWTEventQueue.eventsDispatched,1775393090298000000,1775393102926000000,1644
AWTEventQueue.dispatchTimeAvgNs,1775393090298000000,1775393102926000000,5291855.94647202
FlushQueue.executionTime90PNs,1775393090298000000,1775393102926000000,78335
WriteAction.executionsCount,1775393090298000000,1775393102926000000,1
FlushQueue.executionTimeMaxNs,1775393090298000000,1775393102926000000,33554431
AWTEventQueue.dispatchTimeTotalNS,1775393090298000000,1775393102926000000,8714985349
FlushQueue.queueSizeMax,1775393090298000000,1775393102926000000,463
NonBlockingReadAction.finalizedExecutionTimeUs,1775393090298000000,1775393102926000000,96960
NonBlockingReadAction.failedExecutionsCount,1775393090298000000,1775393102926000000,0
AWTEventQueue.dispatchTime90PNs,1775393090298000000,1775393102926000000,57599
FlushQueue.queueSizeAvg,1775393090298000000,1775393102926000000,153.9488084730803
FlushQueue.waitingTimeMaxNs,1775393090298000000,1775393102926000000,6777995263
FlushQueue.waitingTimeAvgNs,1775393090298000000,1775393102926000000,1.1338135099029126E9
ReadAction.executionsCount,1775393090298000000,1775393102926000000,49125
FlushQueue.queueSize90P,1775393090298000000,1775393102926000000,383
FlushQueue.tasksExecuted,1775393090298000000,1775393102926000000,1133
NonBlockingReadAction.failedExecutionTimeUs,1775393090298000000,1775393102926000000,0
FilePageCacheLockFree.nativeBytesInUse,1775393090298000000,1775393102926000000,0
FilePageCacheLockFree.totalPagesAllocated,1775393090298000000,1775393102926000000,2
FilePageCacheLockFree.housekeeperTurnsDone,1775393090298000000,1775393102926000000,28
FilePageCache.uncachedFileAccess,1775393090298000000,1775393102926000000,328
FilePageCacheLockFree.totalHeapBytesReclaimed,1775393090298000000,1775393102926000000,0
FilePageCacheLockFree.totalPagesRequested,1775393090298000000,1775393102926000000,9
StorageLockContext.competingThreads.avg,1775393090298000000,1775393102926000000,0.7
FilePageCacheLockFree.totalBytesWritten,1775393090298000000,1775393102926000000,24
FilePageCacheLockFree.totalClosedStoragesReclaimed,1775393090298000000,1775393102926000000,2
FilePageCacheLockFree.totalPageAllocationsWaited,1775393090298000000,1775393102926000000,0
FilePageCacheLockFree.totalPagesHandedOver,1775393090298000000,1775393102926000000,0
FilePageCacheLockFree.totalPagesReadMs,1775393090298000000,1775393102926000000,6
DirectByteBufferAllocator.reclaimed,1775393090298000000,1775393102926000000,45
FilePageCache.capacityInBytes,1775393090298000000,1775393102926000000,503316478
StorageLockContext.competingThreads.90P,1775393090298000000,1775393102926000000,0
MappedFileStorage.storages,1775393090298000000,1775393102926000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1775393090298000000,1775393102926000000,16384
FilePageCacheLockFree.totalHeapBytesAllocated,1775393090298000000,1775393102926000000,0
MappedFileStorage.totalPagesMapped,1775393090298000000,1775393102926000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1775393090298000000,1775393102926000000,8
FilePageCache.totalPageLoadsUs,1775393090298000000,1775393102926000000,97893
FilePageCacheLockFree.totalPagesReclaimed,1775393090298000000,1775393102926000000,2
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775393090298000000,1775393102926000000,41959424
MappedFileStorage.totalBytesMapped,1775393090298000000,1775393102926000000,0
FilePageCache.pageLoads,1775393090298000000,1775393102926000000,193
FilePageCacheLockFree.totalBytesRead,1775393090298000000,1775393102926000000,0
